,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,period
206,300077,国民技术,-0.88,-588.89,,-17.78,,-48803.59,-582.21,,04-21,2017_4
207,600662,强生控股,0.1,-45.26,,3.08,,10094.17,-45.23,10派0.6,04-21,2017_4
208,002498,汉缆股份,0.08,-38.46,,5.56,,25013.78,-39.98,10派0.36,04-21,2017_4
209,600209,罗顿发展,-0.1,-0.67,,-7.11,,-4560.82,-0.72,,04-21,2017_4
210,600773,西藏城投,0.11,10.0,,2.65,,8195.21,11.68,10派0.1,04-21,2017_4
211,600851,海欣股份,0.09,17.05,,2.67,,10529.9,17.04,10派0.3,04-21,2017_4
212,002223,鱼跃医疗,0.59,-26.25,,11.37,,59202.94,18.35,10派1.5,04-21,2017_4
213,603506,南都物业,1.26,11.5,,29.58,,7483.24,18.85,10派3转3,04-21,2017_4
214,300435,中泰股份,0.25,4.17,,8.29,,6020.35,5.86,10派2,04-21,2017_4
215,300008,天海防务,0.17,-59.86,,5.18,,16413.91,13.71,10派0.18,04-21,2017_4
216,601777,力帆股份,0.14,100.0,,2.48,,17054.01,106.46,,04-21,2017_4
217,600637,东方明珠,0.85,-23.76,,8.28,,223691.12,-23.76,10派3.5转3,04-21,2017_4
218,002065,东华软件,0.21,-63.11,,7.49,,66379.96,-26.22,10派1,04-21,2017_4
219,002588,史丹利,0.23,-47.73,,6.65,,27112.54,-47.1,10派0.5,04-21,2017_4
220,600880,博瑞传播,0.03,-50.0,,0.96,,3480.17,-42.13,10派0.1,04-21,2017_4
221,603533,掌阅科技,0.33,57.14,,14.98,,12370.88,60.22,,04-21,2017_4
222,600004,白云机场,0.82,-32.23,,12.24,,159578.46,14.49,10派2.4,04-21,2017_4
223,002370,亚太药业,0.38,-33.33,,8.91,,20215.21,61.35,10派1,04-21,2017_4
224,600545,卓郎智能,0.46,-235.03,,23.67,,65832.7,-388.75,10派0.1,04-21,2017_4
225,002415,海康威视,1.03,-16.06,,34.96,,941085.51,26.79,10派5,04-21,2017_4
226,002467,二六三,0.04,-108.33,,1.72,,3098.69,-108.19,,04-21,2017_4
227,601999,出版传媒,0.29,31.82,,8.11,,16108.07,31.02,10派0.88,04-21,2017_4
228,300580,贝斯特,0.71,-8.54,,12.04,,13964.1,19.4,10派1.4,04-21,2017_4
229,600679,上海凤凰,0.19,45.8,,5.9,,7682.41,45.26,,04-21,2017_4
230,300679,电连技术,3.52,-11.56,,18.98,,36113.72,0.7,,04-21,2017_4
231,300250,初灵信息,0.34,-43.33,,4.69,,7789.72,-42.87,10派2,04-21,2017_4
232,300303,聚飞光电,0.05,-78.26,,3.3,,5984.78,-61.44,10派0.6,04-21,2017_4
233,600865,百大集团,0.13,-48.0,,2.85,,4836.93,-47.67,10派0.4,04-21,2017_4
